Name of the column exactly as it appears in the dataset.,"A brief, plain-language explanation of what the data in the column means. ","Specifies if there is an expected range and/or format of possible values. For example, if the data type is Date & Time, this field will note whether the timestamp is MM/DD/YYYY or MM/YYYY. If the Column Name is ice cream, this field might note that values can be Chocolate, Vanilla or Strawberry.

If relevant, this field specifies the unit of measurement of the data field, e.g. thousands, millions, $ value, miles, feet, year, etc.","Describes any unique characteristics or potential analytical limitations presented by this field, including: 
- the reasoning for any null, zero, or empty values in the data
- if the data in the column was integrated from another dataset or organization
- if the data covered includes a different time period
- the source of the column and how the data in the column was generated. 

For example, information on how the data in this column was generated can include  whether the data was self-reported directly by a person, system generated by a database or agency system, derived through analytical manipulation of other fields or records; or obtained from a different agency.","Provides any additional relevant information about the data in the column, including: 
- definitions of acronyms, special term or codes, or jargon that appears in the field values;
- the meaning of confusing or non-intuitive values in the data; 
- how the information in this column relates to information in other columns;
- other unique details about this column."
Column Name,Column Description,Expected/Allowed Values,Field Limitations,Additional Notes
Address 1,Street Address 1 (self-reported),,,
Avoided Emissions - Offsite Green Power (Metric Tons CO2e),"Avoided Emissions are the emissions benefits associated with green power use. Avoided emissions may be either onsite or offsite.
Onsite Avoided Emissions are the emissions benefits of your onsite renewable system (when you’ve retained the Renewable Energy Certificates (RECs)) due to the reduction in grid-supplied electricity. It is calculated as the amount of Onsite Green Power you consume multiplied by the non-baseload (marginal) emissions factor of your eGRID subregion.
Offsite Avoided Emissions occur when you purchase green power (which come with RECs) from your utility or an independent supplier. Offsite Avoided Emissions also occur in the case of REC arbitrage, a transaction where you sell the RECs associated with your own onsite system and purchase other substitute RECs. In this case, the avoided emissions associated with your green power originate from offsite sources, not your onsite system.",Metric Tons CO2e,,
Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),"Avoided Emissions are the emissions benefits associated with green power use. Avoided emissions may be either onsite or offsite.
Onsite Avoided Emissions are the emissions benefits of your onsite renewable system (when you’ve retained the Renewable Energy Certificates (RECs)) due to the reduction in grid-supplied electricity. It is calculated as the amount of Onsite Green Power you consume multiplied by the non-baseload (marginal) emissions factor of your eGRID subregion.
Offsite Avoided Emissions occur when you purchase green power (which come with RECs) from your utility or an independent supplier. Offsite Avoided Emissions also occur in the case of REC arbitrage, a transaction where you sell the RECs associated with your own onsite system and purchase other substitute RECs. In this case, the avoided emissions associated with your green power originate from offsite sources, not your onsite system.",Metric Tons CO2e,,
City,"City, self-reported",,,
Direct GHG Emissions (Metric Tons CO2e),"Greenhouse Gas (GHG) Emissions are the carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O) gases released into the atmosphere as a result of energy consumption at the property. GHG emissions are expressed in carbon dioxide equivalent (CO2e), a universal unit of measure that combines the quantity and global warming potential of each greenhouse gas. Emissions are reported in four categories, each is available as a total amount in metric tons (Metric Tons CO2e) or as an intensity value in kilograms per square foot (kgCO2e/ft2):

Direct Emissions – Direct Emissions are emissions associated with onsite fuel combustion (e.g. combustion of natural gas or fuel oil).
Indirect Emissions – Indirect Emissions are emissions associated with purchases of electricity, district steam, district hot water, or district chilled water. These emissions occur at your utility’s plant, but they are a result of your property’s energy consumption and therefore contribute to your overall GHG footprint.
Biomass Emissions– Biomass Emissions are emissions associated with biogenic fuels such as wood or biogas (captured methane). The only biomass fuel currently available in Portfolio Manager is wood. Biogenic fuels are combusted onsite, but do not contribute to Direct or Total Emissions.
Total Emissions – Total Emissions is the sum of Direct Emissions and Indirect Emissions.",Metric Tons CO2e,,
Direct GHG Emissions Intensity (kgCO2e/ft²),"Greenhouse Gas (GHG) Emissions are the carbon dioxide (CO2), methane (CH4), and nitrous oxide (N2O) gases released into the atmosphere as a result of energy consumption at the property. GHG emissions are expressed in carbon dioxide equivalent (CO2e), a universal unit of measure that combines the quantity and global warming potential of each greenhouse gas. Emissions are reported in four categories, each is available as a total amount in metric tons (Metric Tons CO2e) or as an intensity value in kilograms per square foot (kgCO2e/ft2):

Direct Emissions – Direct Emissions are emissions associated with onsite fuel combustion (e.g. combustion of natural gas or fuel oil).
Indirect Emissions – Indirect Emissions are emissions associated with purchases of electricity, district steam, district hot water, or district chilled water. These emissions occur at your utility’s plant, but they are a result of your property’s energy consumption and therefore contribute to your overall GHG footprint.
Biomass Emissions– Biomass Emissions are emissions associated with biogenic fuels such as wood or biogas (captured methane). The only biomass fuel currently available in Portfolio Manager is wood. Biogenic fuels are combusted onsite, but do not contribute to Direct or Total Emissions.
Total Emissions – Total Emissions is the sum of Direct Emissions and Indirect Emissions.",kgCO2e/ft²,,
District Steam Use (kBtu),Energy Use by Type is a summary of the annual consumption of an individual type of energy (e.g. electricity or natural gas).,kBtu,,
Electricity - Weather Normalized Site Electricity Intensity (Grid and Onsite Renewables) (kWh/ft²),"Weather-normalized metrics, which are automatically calculated in Portfolio Manager, are adjusted for the actual weather in your area. For example, if your area has a hotter than usual summer, your metrics will be adjusted because you will have to use more energy in this situation. Weather normalized metrics ensure that there won’t be a penalty for that hot summer because not all metrics are weather normalized.",kWh/ft²,,
Electricity - Weather Normalized Site Electricity Use (Grid and Onsite Renewables) (kWh),Energy Use by Type is a summary of the annual consumption of an individual type of energy (e.g. electricity or natural gas).,kWh,,
